Input #0, mov,mp4,m4a,3gp,3g2,mj2, from '/Users/spetreikis/Desktop/apps/Tab.Show/marketing/video/tabshow-install-2026-09/output/TabShow-Chrome-Web-Store-1080p60.mp4':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    title           : TabShow: Preview Chrome Tabs Before You Switch
    encoder         : Lavf61.7.100
    comment         : TabShow product animation with original instrumental music.
  Duration: 00:00:48.00, start: 0.000000, bitrate: 5843 kb/s
  Stream #0:0[0x1](und): Video: h264 (High) (avc1 / 0x31637661), yuv420p(tv, bt709/unknown/unknown, progressive), 1920x1080, 5551 kb/s, 60 fps, 60 tbr, 15360 tbn (default)
      Metadata:
        handler_name    : VideoHandler
        vendor_id       : [0][0][0][0]
        encoder         : Lavc61.19.100 libx264
  Stream #0:1[0x2](und): Audio: aac (LC) (mp4a / 0x6134706D), 48000 Hz, stereo, fltp, 279 kb/s (default)
      Metadata:
        handler_name    : SoundHandler
        vendor_id       : [0][0][0][0]
Stream mapping:
  Stream #0:0 -> #0:0 (h264 (native) -> wrapped_avframe (native))
  Stream #0:1 -> #0:1 (aac (native) -> pcm_s16le (native))
Press [q] to stop, [?] for help
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.0999792  TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -6.6  -7.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.199979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -6.9  -7.8 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.299979   TARGET:-23 LUFS    M:-120.7 S:-120.7     I: -70.0 LUFS       LRA:   0.0 LU  FTPK:  -7.7  -8.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.399979   TARGET:-23 LUFS    M: -15.0 S:-120.7     I: -15.0 LUFS       LRA:   0.0 LU  FTPK:  -9.7 -10.9 dBFS  TPK:  -6.6  -7.6 dBFS
Output #0, null, to 'pipe:':
  Metadata:
    major_brand     : isom
    minor_version   : 512
    compatible_brands: isomiso2avc1mp41
    title           : TabShow: Preview Chrome Tabs Before You Switch
    comment         : TabShow product animation with original instrumental music.
    encoder         : Lavf61.7.100
  Stream #0:0(und): Video: wrapped_avframe, yuv420p(tv, bt709/unknown/unknown, progressive), 1920x1080, q=2-31, 200 kb/s, 60 fps, 60 tbn (default)
      Metadata:
        handler_name    : VideoHandler
        vendor_id       : [0][0][0][0]
        encoder         : Lavc61.19.100 wrapped_avframe
  Stream #0:1(und): Audio: pcm_s16le, 48000 Hz, stereo, s16, 1536 kb/s (default)
      Metadata:
        handler_name    : SoundHandler
        vendor_id       : [0][0][0][0]
        encoder         : Lavc61.19.100 pcm_s16le
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.499979   TARGET:-23 LUFS    M: -15.6 S:-120.7     I: -15.3 LUFS       LRA:   0.0 LU  FTPK: -10.1 -11.5 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.599979   TARGET:-23 LUFS    M: -16.5 S:-120.7     I: -15.6 LUFS       LRA:   0.0 LU  FTPK: -11.1 -12.0 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.699979   TARGET:-23 LUFS    M: -17.6 S:-120.7     I: -16.0 LUFS       LRA:   0.0 LU  FTPK: -12.3 -13.2 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.799979   TARGET:-23 LUFS    M: -18.4 S:-120.7     I: -16.4 LUFS       LRA:   0.0 LU  FTPK: -12.6 -13.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.899979   TARGET:-23 LUFS    M: -19.3 S:-120.7     I: -16.8 LUFS       LRA:   0.0 LU  FTPK: -13.8 -14.2 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 0.999979   TARGET:-23 LUFS    M: -19.3 S:-120.7     I: -17.1 LUFS       LRA:   0.0 LU  FTPK: -12.2 -12.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.099979   TARGET:-23 LUFS    M: -19.5 S:-120.7     I: -17.3 LUFS       LRA:   0.0 LU  FTPK: -13.6 -14.5 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.199979   TARGET:-23 LUFS    M: -19.8 S:-120.7     I: -17.5 LUFS       LRA:   0.0 LU  FTPK: -16.4 -17.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.299979   TARGET:-23 LUFS    M: -20.3 S:-120.7     I: -17.7 LUFS       LRA:   0.0 LU  FTPK: -17.8 -19.2 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.399979   TARGET:-23 LUFS    M: -22.2 S:-120.7     I: -18.0 LUFS       LRA:   0.0 LU  FTPK: -19.9 -21.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.499979   TARGET:-23 LUFS    M: -23.7 S:-120.7     I: -18.3 LUFS       LRA:   0.0 LU  FTPK: -20.6 -20.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.599979   TARGET:-23 LUFS    M: -22.1 S:-120.7     I: -18.5 LUFS       LRA:   0.0 LU  FTPK: -15.9 -14.2 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.699979   TARGET:-23 LUFS    M: -20.9 S:-120.7     I: -18.6 LUFS       LRA:   0.0 LU  FTPK: -16.5 -14.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.799979   TARGET:-23 LUFS    M: -20.1 S:-120.7     I: -18.7 LUFS       LRA:   0.0 LU  FTPK: -16.3 -14.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.899979   TARGET:-23 LUFS    M: -19.5 S:-120.7     I: -18.7 LUFS       LRA:   0.0 LU  FTPK: -16.7 -15.9 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 1.999979   TARGET:-23 LUFS    M: -20.3 S:-120.7     I: -18.8 LUFS       LRA:   0.0 LU  FTPK: -17.6 -16.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.099979   TARGET:-23 LUFS    M: -21.2 S:-120.7     I: -18.9 LUFS       LRA:   0.0 LU  FTPK: -19.2 -18.4 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.199979   TARGET:-23 LUFS    M: -22.1 S:-120.7     I: -19.0 LUFS       LRA:   0.0 LU  FTPK: -19.6 -17.7 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.299979   TARGET:-23 LUFS    M: -23.1 S:-120.7     I: -19.2 LUFS       LRA:   0.0 LU  FTPK: -21.1 -18.9 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.399979   TARGET:-23 LUFS    M: -24.1 S:-120.7     I: -19.3 LUFS       LRA:   0.0 LU  FTPK: -21.7 -19.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.499979   TARGET:-23 LUFS    M: -20.5 S:-120.7     I: -19.4 LUFS       LRA:   0.0 LU  FTPK:  -9.5  -9.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.599979   TARGET:-23 LUFS    M: -18.6 S:-120.7     I: -19.3 LUFS       LRA:   0.0 LU  FTPK: -10.1 -10.0 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.699979   TARGET:-23 LUFS    M: -17.5 S:-120.7     I: -19.2 LUFS       LRA:   0.0 LU  FTPK: -11.1 -11.0 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.799979   TARGET:-23 LUFS    M: -16.9 S:-120.7     I: -19.1 LUFS       LRA:   0.0 LU  FTPK: -12.4 -13.0 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.899979   TARGET:-23 LUFS    M: -17.8 S:-120.7     I: -19.1 LUFS       LRA:   0.0 LU  FTPK: -13.3 -14.5 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 2.999979   TARGET:-23 LUFS    M: -18.9 S: -18.7     I: -19.1 LUFS       LRA:  20.0 LU  FTPK: -14.6 -15.4 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.099979   TARGET:-23 LUFS    M: -20.1 S: -19.0     I: -19.1 LUFS       LRA:  20.2 LU  FTPK: -15.4 -16.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.199979   TARGET:-23 LUFS    M: -21.1 S: -19.4     I: -19.1 LUFS       LRA:  20.3 LU  FTPK: -15.9 -17.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.299979   TARGET:-23 LUFS    M: -22.0 S: -19.8     I: -19.2 LUFS       LRA:  20.5 LU  FTPK: -16.6 -16.4 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.399979   TARGET:-23 LUFS    M: -21.4 S: -19.9     I: -19.3 LUFS       LRA:   1.2 LU  FTPK: -13.8 -13.4 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.499979   TARGET:-23 LUFS    M: -21.1 S: -20.1     I: -19.3 LUFS       LRA:   1.4 LU  FTPK: -16.9 -15.6 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.599979   TARGET:-23 LUFS    M: -21.0 S: -20.2     I: -19.4 LUFS       LRA:   1.5 LU  FTPK: -19.0 -17.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.699979   TARGET:-23 LUFS    M: -21.0 S: -20.3     I: -19.4 LUFS       LRA:   1.6 LU  FTPK: -19.0 -17.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.799979   TARGET:-23 LUFS    M: -22.1 S: -20.4     I: -19.5 LUFS       LRA:   1.7 LU  FTPK: -20.5 -18.4 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.899979   TARGET:-23 LUFS    M: -23.1 S: -20.5     I: -19.5 LUFS       LRA:   1.8 LU  FTPK: -20.4 -18.8 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 3.999979   TARGET:-23 LUFS    M: -24.0 S: -20.7     I: -19.6 LUFS       LRA:   1.7 LU  FTPK: -21.8 -19.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.099979   TARGET:-23 LUFS    M: -24.8 S: -20.8     I: -19.7 LUFS       LRA:   1.8 LU  FTPK: -21.9 -19.9 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.199979   TARGET:-23 LUFS    M: -25.7 S: -20.9     I: -19.8 LUFS       LRA:   1.9 LU  FTPK: -21.5 -20.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.299979   TARGET:-23 LUFS    M: -23.0 S: -20.8     I: -19.8 LUFS       LRA:   1.9 LU  FTPK: -14.5 -16.0 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.399979   TARGET:-23 LUFS    M: -21.5 S: -20.7     I: -19.9 LUFS       LRA:   1.8 LU  FTPK: -15.5 -16.5 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.499979   TARGET:-23 LUFS    M: -20.5 S: -20.5     I: -19.9 LUFS       LRA:   1.8 LU  FTPK: -15.7 -16.7 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.599979   TARGET:-23 LUFS    M: -20.0 S: -20.7     I: -19.9 LUFS       LRA:   1.8 LU  FTPK: -16.1 -17.3 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.699979   TARGET:-23 LUFS    M: -20.8 S: -20.8     I: -19.9 LUFS       LRA:   1.8 LU  FTPK: -16.8 -18.1 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.799979   TARGET:-23 LUFS    M: -21.6 S: -20.8     I: -19.9 LUFS       LRA:   1.8 LU  FTPK: -17.1 -18.8 dBFS  TPK:  -6.6  -7.6 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.899979   TARGET:-23 LUFS    M: -16.1 S: -19.7     I: -19.8 LUFS       LRA:   1.8 LU  FTPK:  -3.1  -4.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 4.999979   TARGET:-23 LUFS    M: -14.5 S: -19.2     I: -19.6 LUFS       LRA:   1.8 LU  FTPK:  -5.2  -5.9 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.099979   TARGET:-23 LUFS    M: -13.6 S: -18.8     I: -19.3 LUFS       LRA:   2.0 LU  FTPK:  -7.0  -8.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.199979   TARGET:-23 LUFS    M: -13.0 S: -18.5     I: -19.0 LUFS       LRA:   2.1 LU  FTPK:  -7.8  -9.3 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.299979   TARGET:-23 LUFS    M: -14.4 S: -18.3     I: -18.9 LUFS       LRA:   2.3 LU  FTPK:  -8.4 -10.5 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.399979   TARGET:-23 LUFS    M: -15.7 S: -18.2     I: -18.8 LUFS       LRA:   2.6 LU  FTPK: -11.3 -13.5 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.499979   TARGET:-23 LUFS    M: -16.5 S: -18.2     I: -18.7 LUFS       LRA:   2.6 LU  FTPK: -11.5 -11.8 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.599979   TARGET:-23 LUFS    M: -17.3 S: -18.3     I: -18.7 LUFS       LRA:   2.6 LU  FTPK: -11.6 -12.3 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.699979   TARGET:-23 LUFS    M: -18.0 S: -18.4     I: -18.7 LUFS       LRA:   2.6 LU  FTPK: -13.7 -13.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.799979   TARGET:-23 LUFS    M: -17.5 S: -18.3     I: -18.7 LUFS       LRA:   2.6 LU  FTPK:  -9.3 -10.2 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.899979   TARGET:-23 LUFS    M: -17.5 S: -18.2     I: -18.6 LUFS       LRA:   2.6 LU  FTPK:  -8.6  -9.0 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 5.999979   TARGET:-23 LUFS    M: -17.2 S: -18.1     I: -18.6 LUFS       LRA:   2.6 LU  FTPK:  -9.3  -9.5 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.099979   TARGET:-23 LUFS    M: -16.9 S: -18.0     I: -18.6 LUFS       LRA:   2.6 LU  FTPK:  -9.1  -9.5 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.199979   TARGET:-23 LUFS    M: -17.5 S: -17.9     I: -18.6 LUFS       LRA:   2.8 LU  FTPK: -14.7 -14.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.299979   TARGET:-23 LUFS    M: -18.5 S: -17.9     I: -18.6 LUFS       LRA:   2.9 LU  FTPK: -15.4 -15.7 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.399979   TARGET:-23 LUFS    M: -17.5 S: -17.7     I: -18.5 LUFS       LRA:   2.9 LU  FTPK:  -8.8  -7.3 dBFS  TPK:  -3.1  -4.2 dBFS
[Parsed_ebur128_0 @ 0x7f795b7078c0] t: 6.499979   TARGET:-23 LUFS    M: -17.0 S: -17.5     I: -18.5 LUFS       LRA:   2.9 LU  FTPK:  -9.8  -8.6 dBFS  TPK:  -3.1  -4.2 dBFS
